2018-12-11 20:26:15	公司在哪个区
2018-12-11 20:26:49	就在这里
2018-12-11 20:28:00	哦哦蜀山区
2018-12-11 20:28:26	觉得不合适可以在找找
2018-12-11 20:28:46	我做地铁过去都要1个半小时
2018-12-11 20:28:49	[撇嘴]
2018-12-11 20:29:10	是的呀，准备明年春天再试试
2018-12-11 20:29:55	嗯可以继续试试其他公司
2018-12-11 20:30:12	那你年前要提离职报告了呀
2018-12-11 20:31:09	打算确定了再写离职报告
2018-12-11 20:31:17	[偷笑]
2018-12-11 20:32:26	这个肯定要的
2018-12-11 20:32:29	哈哈哈
2018-12-11 20:32:56	是的呀，过完年机会多。
2018-12-11 20:33:12	嗯
2018-12-11 20:33:14	你
2018-12-11 20:33:23	看我朋友圈了吗
2018-12-11 20:33:40	嗯嗯
2018-12-11 20:33:42	我去看你朋友圈发现你很喜欢旅游啊
2018-12-11 20:33:53	是的呀，
2018-12-11 20:33:57	头像也是
2018-12-11 20:34:12	其实我没去几个地方
2018-12-11 20:34:19	头像是在黄山拍的吗
2018-12-11 20:34:30	江西是玩的最多的地方
2018-12-11 20:34:33	好像像又不像
2018-12-11 20:34:34	不是
2018-12-11 20:34:44	我都没去过江西
2018-12-11 20:34:54	元旦和我闺蜜约好了去武汉玩
2018-12-11 20:35:05	这还是和老段他们一起去三清山拍的
2018-12-11 20:35:11	本来我们还准备去大东北玩的
2018-12-11 20:35:14	老段
2018-12-11 20:35:21	我都听到好几次了
2018-12-11 20:35:25	[捂脸]
2018-12-11 20:36:05	当时毕业旅行去的
2018-12-11 20:36:21	这张照片段段闭眼啦
2018-12-11 20:36:30	我要是给她看
2018-12-11 20:36:39	你觉得她会怎么做
2018-12-11 20:38:02	哈哈，拍的技术不好
2018-12-11 20:38:42	你好白啊
2018-12-11 20:39:07	额，有点吧，不止一个人说过
2018-12-11 20:39:39	羡慕
2018-12-11 20:39:40	其实还有点胖
2018-12-11 20:39:44	我的皮肤就黑
2018-12-11 20:39:45	[傲慢]
2018-12-11 20:39:47	哈哈哈
2018-12-11 20:39:54	还好呀
2018-12-11 20:39:57	胖，还好吧
2018-12-11 20:40:03	你这也不算胖
2018-12-11 20:40:36	你是说我黑还好吗[捂脸]
2018-12-11 20:40:55	这都没有呀，我只说你不黑呀
2018-12-11 20:40:59	[偷笑]
2018-12-11 20:41:09	坏
2018-12-11 20:41:15	还不如说实话
2018-12-11 20:41:20	[撇嘴]
2018-12-11 20:41:27	[傲慢]
2018-12-11 20:41:41	你要看到我的肚子，你就说我胖了
2018-12-11 20:41:44	[呲牙]
2018-12-11 20:42:08	其实已经隐隐约约看到了[偷笑]
2018-12-11 20:42:16	额(°_°)…好吧
2018-12-11 20:42:18	就刚刚四个人的照片
2018-12-11 20:42:25	哈哈哈
2018-12-11 20:43:06	这是我还在学校，平时我还锻炼，现在上了半年的班，我都快长圆了
2018-12-11 20:43:11	其实还好啦，运动运动肚子就会下去啦
2018-12-11 20:43:39	是的呀，在学校每天我都跑5公里
2018-12-11 20:43:40	有多圆
2018-12-11 20:44:09	现在这里没有条件了，我也锻炼的少了
2018-12-11 20:44:33	我最近项目忙
2018-12-11 20:44:34	要是给你看了现在的我，你或许就把我拉黑了
2018-12-11 20:44:41	[呲牙]
2018-12-11 20:44:56	有一天加班到11点才回来
2018-12-11 20:45:12	那发个照片我来看看
2018-12-11 20:45:13	额(°_°)…
2018-12-11 20:45:21	没有没有
2018-12-11 20:45:25	[偷笑]
2018-12-11 20:45:26	看我会不会拉黑哦[奸笑]
2018-12-11 20:46:48	最近没时间拍照
2018-12-11 20:46:49	甩张照片看看哦
2018-12-11 20:46:56	现在拍
2018-12-11 20:47:21	其实我上班也胖的了不过不明显[皱眉]
2018-12-11 20:47:37	不敢拍
2018-12-11 20:47:40	[发呆]
2018-12-11 20:48:10	[捂脸]
2018-12-11 20:48:57	这头像毕业旅行不也就6月份的吗
2018-12-11 20:49:06	嗯嗯
2018-12-11 20:49:26	能胖多少哦
2018-12-11 20:49:28	那是还能将就着看
2018-12-11 20:49:47	涨了快十斤
2018-12-11 20:49:48	将就着看😂
2018-12-11 20:49:58	[难过]
2018-12-11 20:50:00	还好还好
2018-12-11 20:50:32	我最近都不敢在外面吃东西了，
2018-12-11 20:50:41	不会嫌弃滴
2018-12-11 20:52:18	我们公寓外面前段时间小吃不给摆摊了也好久没吃外面的东西了
2018-12-11 20:52:45	我要吃外面的东西就会长胖
2018-12-11 20:53:29	我现在每天回来都煮粥吃
2018-12-11 20:53:30	外面的东西油不干净会容易胖
2018-12-11 20:53:36	嗯嗯
2018-12-11 20:53:48	不过我有时就想吃小吃摊[捂脸]
